法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
政令,明治五年太政官布告第三百三十七号,明治五年太政官布告第三百三十七号（改暦ノ布告）,かいれきのふこく,,明治五年十一月九日,平成２７年８月１日（基準日）現在のデータ,,,,,105DF0000000337,https://elaws.e-gov.go.jp/document?lawid=105DF0000000337_20150801_000000000000000,,
政令,明治六年太政官布告第六十五号,明治六年太政官布告第六十五号（絞罪器械図式）,こうざいきかいずしき,,明治六年二月二十日,平成２７年８月１日（基準日）現在のデータ,,,,,106DF0000000065,https://elaws.e-gov.go.jp/document?lawid=106DF0000000065_20150801_000000000000000,,
政令,明治八年太政官布告第五十四号,明治八年太政官布告第五十四号（勲章制定ノ件）,くんしょうせいていのけん,,明治八年四月十日,平成２７年８月１日（基準日）現在のデータ,,,,,108DF0000000054,https://elaws.e-gov.go.jp/document?lawid=108DF0000000054_20150801_000000000000000,,
政令,明治八年太政官布告第百三号,明治八年太政官布告第百三号（裁判事務心得）　抄,さいばんじむこころえしょう,,明治八年六月八日,平成２７年８月１日（基準日）現在のデータ,,,,,108DF0000000103,https://elaws.e-gov.go.jp/document?lawid=108DF0000000103_20150801_000000000000000,,
政令,明治八年太政官達第百五十二号,明治八年太政官達第百五十二号（不用物品等払下ノトキ其管庁所属ノ官吏入札禁止ノ件）,ふようぶっぴんとうはらいさげのときそのかんちょうしょぞくのかんりにゅうさつきんしのけん,,明治八年八月二十七日,平成２７年８月１日（基準日）現在のデータ,,,,,108DT0000000152,https://elaws.e-gov.go.jp/document?lawid=108DT0000000152_20150801_000000000000000,,
政令,明治十年太政官達第九十七号,明治十年太政官達第九十七号（大勲位菊花大綬章及副章製式ノ件）,だいくんいきっかだいじゅしょうおよびふくしょうせいしきのけん,,明治十年十二月二十五日,平成２７年８月１日（基準日）現在のデータ,,,,,110DT0000000097,https://elaws.e-gov.go.jp/document?lawid=110DT0000000097_20150801_000000000000000,,
政令,明治十三年太政官布告第三十六号,明治十三年太政官布告第三十六号（刑法　抄）,けいほうしょう,,明治十三年七月十七日,平成２７年８月１日（基準日）現在のデータ,,,,,113DF0000000036,https://elaws.e-gov.go.jp/document?lawid=113DF0000000036_20150801_000000000000000,,
政令,明治十四年太政官布告第六十三号,明治十四年太政官布告第六十三号（褒章条例）,ほうしょうじょうれい,,明治十四年十二月七日,平成２７年８月１日（基準日）現在のデータ,,,,,114DF0000000063,https://elaws.e-gov.go.jp/document?lawid=114DF0000000063_20150801_000000000000000,,
政令,明治十六年太政官達第二十七号,明治十六年太政官達第二十七号（官報の発行）,かんぽうのはっこう,,明治十六年六月二十日,平成２７年８月１日（基準日）現在のデータ,,,,,116DT0000000027,https://elaws.e-gov.go.jp/document?lawid=116DT0000000027_20150801_000000000000000,,
法律,明治十七年太政官布告第三十二号,明治十七年太政官布告第三十二号（爆発物取締罰則）,ばくはつぶつとりしまりばっそく,,明治十七年十二月二十七日,組織的な犯罪の処罰及び犯罪収益の規制等に関する法律等の一部を改正する法律,平成二十九年法律第六十七号,平成二十九年六月二十一日,平成二十九年八月十日,,117DF1000000032,https://elaws.e-gov.go.jp/document?lawid=117DF1000000032_20170810_429AC0000000067,,
勅令,明治十九年勅令第〇号,メートル条約,めーとるじょうやく,,明治十九年四月二十日,平成２７年８月１日（基準日）現在のデータ,,,,,119IO0000000000,https://elaws.e-gov.go.jp/document?lawid=119IO0000000000_20150801_000000000000000,,
勅令,明治十九年勅令第五十一号,明治十九年勅令第五十一号（本初子午線経度計算方及標準時ノ件）,ほんしょしごせんけいどけいさんかたおよびひょうじゅんじのけん,,明治十九年七月十三日,平成２７年８月１日（基準日）現在のデータ,,,,,119IO0000000051,https://elaws.e-gov.go.jp/document?lawid=119IO0000000051_20150801_000000000000000,,
勅令,明治二十年勅令第一号,海底電信線保護万国連合条約ノ説明書,かいていでんしんせんほごばんこくれんごうじょうやくのせつめいしょ,,明治二十年十二月二十二日,平成２７年８月１日（基準日）現在のデータ,,,,,120IO0000000001,https://elaws.e-gov.go.jp/document?lawid=120IO0000000001_20150801_000000000000000,,
勅令,明治二十年勅令第二号,海上法ノ要義ヲ確定スル為メ西暦千八百五十六年四月十六日巴里公会ニ於テ決定セシ宣言,かいじょうほうのようぎをかくていするためせいれき１８５６ねん４がつ１６にちぱりこうかいにおいてけっていせしせんげん,,明治二十年三月二十四日,平成２７年８月１日（基準日）現在のデータ,,,,,120IO0000000002,https://elaws.e-gov.go.jp/document?lawid=120IO0000000002_20150801_000000000000000,,
勅令,明治二十年勅令第三十九号,官吏服務紀律,かんりふくむきりつ,,昭和二十二年五月二日,官吏服務紀律の一部を改正する勅令,昭和二十二年勅令第二百六号,昭和二十二年五月二日,昭和二十二年五月二日,,120IO0000000039,https://elaws.e-gov.go.jp/document?lawid=120IO0000000039_19470502_322IO0000000206,,
勅令,明治二十一年勅令第一号,明治二十一年勅令第一号（宝冠章及大勲位菊花章頸飾ニ関スル件）,ほうかんしょうおよびだいくんいきっかしょうけいしょくにかんするけん,,明治二十一年一月四日,平成２７年８月１日（基準日）現在のデータ,,,,,121IO0000000001,https://elaws.e-gov.go.jp/document?lawid=121IO0000000001_20150801_000000000000000,,
勅令,明治二十一年勅令第七十六号,勲章佩用式,くんしょうはいようしき,,明治二十一年十一月十七日,平成２７年８月１日（基準日）現在のデータ,,,,,121IO0000000076,https://elaws.e-gov.go.jp/document?lawid=121IO0000000076_20150801_000000000000000,,
法律,明治二十二年法律第三十四号,明治二十二年法律第三十四号（決闘罪ニ関スル件）,けっとうざいにかんするけん,,明治二十二年十二月三十日,平成２７年８月１日（基準日）現在のデータ,,,,,122AC0000000034,https://elaws.e-gov.go.jp/document?lawid=122AC0000000034_20150801_000000000000000,,
勅令,明治二十二年勅令第百三号,明治二十二年勅令第百三号（帝国憲法発布記念章制定ノ件）,ていこくけんぽうはっぷきねんしょうせいていのけん,,明治二十二年八月三日,平成２７年８月１日（基準日）現在のデータ,,,,,122IO0000000103,https://elaws.e-gov.go.jp/document?lawid=122IO0000000103_20150801_000000000000000,,
府省令,明治二十二年閣令第十二号,歳入歳出予算概定順序,さいにゅうさいしゅつよさんおおむねていじゅんじょ,,明治二十二年三月二十七日,平成２８年１０月１日（基準日）現在のデータ,,,,,122M10000001012,https://elaws.e-gov.go.jp/document?lawid=122M10000001012_20161001_000000000000000,,
府省令,明治二十二年閣令第十九号,予定経費算出概則,よていけいひさんしゅつがいそく,,明治二十二年六月十日,平成２８年１０月１日（基準日）現在のデータ,,,,,122M10000001019,https://elaws.e-gov.go.jp/document?lawid=122M10000001019_20161001_000000000000000,,
法律,明治二十三年法律第一号,保管金規則,ほかんきんきそく,,明治二十三年一月七日,平成２７年８月１日（基準日）現在のデータ,,,,,123AC0000000001,https://elaws.e-gov.go.jp/document?lawid=123AC0000000001_20150801_000000000000000,,
府省令,明治二十五年閣令第四号,明治二十五年閣令第四号（各官庁ニ於テ公務上在外公使領事ヲ煩ハストキ外務大臣ヘ照会ノ件）,かくかんちょうにおいてこうむじょうざいがいこうしりょうじをわずらわすときがいむだいじんへしょうかいのけん,,明治二十五年五月二十七日,平成２８年１０月１日（基準日）現在のデータ,,,,,125M10000001004,https://elaws.e-gov.go.jp/document?lawid=125M10000001004_20161001_000000000000000,,
勅令,明治二十六年勅令第二百六十一号,明治二十六年勅令第二百六十一号（政府ノ債務ニ対シ差押命令ヲ受クル場合ニ於ケル会計上ノ規程）,せいふのさいむにたいしさしおさえめいれいをうくるばあいにおけるかいけいじょうのきてい,,明治二十六年十二月二十七日,平成２７年８月１日（基準日）現在のデータ,,,,,126IO0000000261,https://elaws.e-gov.go.jp/document?lawid=126IO0000000261_20150801_000000000000000,,
勅令,明治二十七年勅令第二十三号,明治二十七年勅令第二十三号（大婚二十五年祝典之章制定ノ件）,だいこんにじゅうごねんしゅくてんゆきしょうせいていのけん,,明治二十七年三月六日,平成２７年８月１日（基準日）現在のデータ,,,,,127IO0000000023,https://elaws.e-gov.go.jp/document?lawid=127IO0000000023_20150801_000000000000000,,
府省令,明治二十七年閣令第一号,褒章条例取扱手続,ほうしょうじょうれいとりあつかいてつづき,,明治二十七年一月六日,平成２８年１０月１日（基準日）現在のデータ,,,,,127M10000001001,https://elaws.e-gov.go.jp/document?lawid=127M10000001001_20161001_000000000000000,,
府省令,明治二十七年大蔵省令第二号,明治二十七年大蔵省令第二号（政府カ第三債務者トシテ差押ヘラレタル債務額ノ仕払停止仕払執行及供託ニ関スル手続）,せいふがだいさんさいむしゃとしてさしおさえへられたるさいむがくのしはらいていしはらいししっこうおよびきょうたくにかんするてつづき,,明治二十七年二月七日,政府カ第三債務者トシテ差押ヘラレタル債務額ノ仕払停止仕払執行及供託ニ関スル手続等の一部を改正する省令,令和元年財務省令第五号,令和元年六月二十一日,令和元年七月一日,,127M10000040002,https://elaws.e-gov.go.jp/document?lawid=127M10000040002_20190701_501M60000040005,,
法律,明治二十八年法律第二十八号,通貨及証券模造取締法,つうかきゅうしょうけんもぞうとりしまりほう,,明治二十八年四月五日,平成２７年８月１日（基準日）現在のデータ,,,,,128AC0000000028,https://elaws.e-gov.go.jp/document?lawid=128AC0000000028_20150801_000000000000000,,
勅令,明治二十八年勅令第百六十七号,明治二十八年勅令第百六十七号（標準時ニ関スル件）,ひょうじゅんじにかんするけん,,明治二十八年十二月二十八日,平成２７年８月１日（基準日）現在のデータ,,,,,128IO0000000167,https://elaws.e-gov.go.jp/document?lawid=128IO0000000167_20150801_000000000000000,,
法律,明治二十九年法律第五号,国債証券買入銷却法,こくさいしょうけんかいいれしょうきゃくほう,,明治二十九年二月二十一日,平成２７年８月１日（基準日）現在のデータ,,,,,129AC0000000005,https://elaws.e-gov.go.jp/document?lawid=129AC0000000005_20150801_000000000000000,,
法律,明治二十九年法律第八十九号,民法,みんぽう,,明治二十九年四月二十七日,民法等の一部を改正する法律,令和元年法律第三十四号,令和元年六月十四日,令和二年四月一日,,129AC0000000089,https://elaws.e-gov.go.jp/document?lawid=129AC0000000089_20200401_501AC0000000034,,
法律,明治二十九年法律第八十九号,民法,みんぽう,,明治二十九年四月二十七日,民法の一部を改正する法律,平成三十年法律第五十九号,平成三十年六月二十日,令和四年四月一日,,129AC0000000089,https://elaws.e-gov.go.jp/document?lawid=129AC0000000089_20220401_430AC0000000059,○,
法律,明治三十年法律第二十九号,砂防法,さぼうほう,,明治三十年三月三十日,平成２７年８月１日（基準日）現在のデータ,,,,,130AC0000000029,https://elaws.e-gov.go.jp/document?lawid=130AC0000000029_20150801_000000000000000,,
勅令,明治三十年勅令第三百八十二号,砂防法施行規程,さぼうほうせこうきてい,,明治三十年十月二十六日,平成２７年８月１日（基準日）現在のデータ,,,,,130IO0000000382,https://elaws.e-gov.go.jp/document?lawid=130IO0000000382_20150801_000000000000000,,
法律,明治三十一年法律第十一号,民法施行法　抄,みんぽうせこうほうしょう,,明治三十一年六月二十一日,民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,平成二十九年法律第四十五号,平成二十九年六月二日,令和二年四月一日,,131AC0000000011,https://elaws.e-gov.go.jp/document?lawid=131AC0000000011_20200401_429AC0000000045,,
法律,明治三十一年法律第十四号,外国法人の登記及び夫婦財産契約の登記に関する法律,がいこくほうじんのとうきおよびふうふざいさんけいやくのとうきにかんするほうりつ,,明治三十一年六月二十一日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,131AC0000000014,https://elaws.e-gov.go.jp/document?lawid=131AC0000000014_20160401_426AC0000000069,,
法律,明治三十一年法律第十四号,外国法人の登記及び夫婦財産契約の登記に関する法律,がいこくほうじんのとうきおよびふうふざいさんけいやくのとうきにかんするほうりつ,,明治三十一年六月二十一日,会社法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和元年法律第七十一号,令和元年十二月十一日,令和三年二月十五日,,131AC0000000014,https://elaws.e-gov.go.jp/document?lawid=131AC0000000014_20210215_501AC0000000071,○,
法律,明治三十一年法律第十四号,外国法人の登記及び夫婦財産契約の登記に関する法律,がいこくほうじんのとうきおよびふうふざいさんけいやくのとうきにかんするほうりつ,,明治三十一年六月二十一日,会社法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和元年法律第七十一号,令和元年十二月十一日,令和五年六月十日,会社法改正法附則第一条ただし書に規定する規定の施行の日,131AC0000000014,https://elaws.e-gov.go.jp/document?lawid=131AC0000000014_20230610_501AC0000000071,○,
勅令,明治三十一年勅令第九十号,明治三十一年勅令第九十号（閏年ニ関スル件）,うるうどしにかんするけん,,明治三十一年五月十一日,平成２７年８月１日（基準日）現在のデータ,,,,,131IO0000000090,https://elaws.e-gov.go.jp/document?lawid=131IO0000000090_20150801_000000000000000,,
法律,明治三十二年法律第十五号,供託法,きょうたくほう,,明治三十二年二月八日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,132AC0000000015,https://elaws.e-gov.go.jp/document?lawid=132AC0000000015_20160401_426AC0000000069,,
法律,明治三十二年法律第四十号,明治三十二年法律第四十号（失火ノ責任ニ関スル法律）,しっかのせきにんにかんするほうりつ,,明治三十二年三月八日,平成２７年８月１日（基準日）現在のデータ,,,,,132AC0000000040,https://elaws.e-gov.go.jp/document?lawid=132AC0000000040_20150801_000000000000000,,
法律,明治三十二年法律第四十六号,船舶法,せんぱくほう,,明治三十二年三月八日,商法及び国際海上物品運送法の一部を改正する法律,平成三十年法律第二十九号,平成三十年五月二十五日,平成三十一年四月一日,,132AC0000000046,https://elaws.e-gov.go.jp/document?lawid=132AC0000000046_20190401_430AC0000000029,,
法律,明治三十二年法律第四十八号,商法,しょうほう,,明治三十二年三月九日,民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,平成二十九年法律第四十五号,平成二十九年六月二日,令和二年四月一日,,132AC0000000048,https://elaws.e-gov.go.jp/document?lawid=132AC0000000048_20200401_429AC0000000045,,
法律,明治三十二年法律第四十九号,商法施行法,しょうほうせこうほう,,明治三十二年三月九日,商法及び国際海上物品運送法の一部を改正する法律,平成三十年法律第二十九号,平成三十年五月二十五日,平成三十一年四月一日,,132AC0000000049,https://elaws.e-gov.go.jp/document?lawid=132AC0000000049_20190401_430AC0000000029,,
法律,明治三十二年法律第五十号,明治三十二年法律第五十号（外国人ノ署名捺印及無資力証明ニ関スル法律）,がいこくじんのしょめいなついんおよびむしりょくしょうめいにかんするほうりつ,,明治三十二年三月十日,平成２７年８月１日（基準日）現在のデータ,,,,,132AC0000000050,https://elaws.e-gov.go.jp/document?lawid=132AC0000000050_20150801_000000000000000,,
法律,明治三十二年法律第九十三号,行旅病人及行旅死亡人取扱法,こうりょびょうにんおよびこうりょしぼうにんとりあつかいほう,,明治三十二年三月二十八日,平成２７年８月１日（基準日）現在のデータ,,,,,132AC0000000093,https://elaws.e-gov.go.jp/document?lawid=132AC0000000093_20150801_000000000000000,,
法律,明治三十二年法律第九十五号,水難救護法,すいなんきゅうごほう,,明治三十二年三月二十九日,平成２７年８月１日（基準日）現在のデータ,,,,,132AC0000000095,https://elaws.e-gov.go.jp/document?lawid=132AC0000000095_20150801_000000000000000,,
法律,明治三十二年法律第百一号,明治三十二年法律第百一号（国債ヲ外国ニ於テ募集スル場合ニ関スル法律）,こくさいをがいこくにおいてぼしゅうするばあいにかんするほうりつ,,明治三十二年四月二十日,平成２７年８月１日（基準日）現在のデータ,,,,,132AC0000000101,https://elaws.e-gov.go.jp/document?lawid=132AC0000000101_20150801_000000000000000,,
勅令,明治三十二年勅令,日本国及希臘国間修好通商航海条約,にほんこくおよびぎりしゃこくかんしゅうこうつうしょうこうかいじょうやく,,明治三十二年十月十二日,平成２９年４月１日（基準日）現在のデータ,,,,,132IO0000000001,https://elaws.e-gov.go.jp/document?lawid=132IO0000000001_20170401_000000000000000,,
勅令,明治三十二年勅令第二百七十七号,明治三十二年勅令第二百七十七号（行旅病人死亡人等ノ引取及費用弁償ニ関スル件）,こうりょびょうにんしぼうにんとうのひきとりおよびひようべんしょうにかんするけん,,明治三十二年六月十七日,平成２７年８月１日（基準日）現在のデータ,,,,,132IO0000000277,https://elaws.e-gov.go.jp/document?lawid=132IO0000000277_20150801_000000000000000,,
府省令,明治三十二年大蔵省令第二十二号,明治三十二年大蔵省令第二十二号（英国倫敦ニ於テ募集スル公債ニ関スル手続方法）,えいこくろんどんにおいてぼしゅうするこうさいにかんするてつづきほうほう,,明治三十二年五月三十一日,平成２８年１０月１日（基準日）現在のデータ,,,,,132M10000040022,https://elaws.e-gov.go.jp/document?lawid=132M10000040022_20161001_000000000000000,,
府省令,明治三十二年逓信省令第十九号,明治三十二年逓信省令第十九号（商法第七百九条ニ規定スル属具目録ノ書式ノ件）,しょうほうだいななひゃくきゅうじょうにきていするぞくぐもくろくのしょしきのけん,,明治三十二年五月二十六日,平成２８年１０月１日（基準日）現在のデータ,,,,,132M10001000019,https://elaws.e-gov.go.jp/document?lawid=132M10001000019_20161001_000000000000000,,
府省令,明治三十二年逓信省令第二十号,明治三十二年逓信省令第二十号（商法施行法第百二十二条ノ規定ニ依ル湖川、港湾及沿岸小航海ノ範囲ニ関スル件）,しょうほうせこうほうだいひゃくにじゅうにじょうのきていによるこせんこうわんおよびえんがんしょうこうかいのはんいにかんするけん,,明治三十二年五月二十六日,平成２８年１０月１日（基準日）現在のデータ,,,,,132M10001000020,https://elaws.e-gov.go.jp/document?lawid=132M10001000020_20161001_000000000000000,,
府省令,明治三十二年逓信省令第二十四号,船舶法施行細則,せんぱくほうせこうさいそく,,明治三十二年六月十二日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律の施行に伴う国土交通省関係省令の整備等に関する省令,令和元年国土交通省令第四十七号,令和元年十二月十六日,令和元年十二月十六日,,132M10001000024,https://elaws.e-gov.go.jp/document?lawid=132M10001000024_20191216_501M60000800047,,
府省令,明治三十二年逓信省令第三十五号,水難救護法施行細則,すいなんきゅうごほうせこうさいそく,,明治三十二年七月二十九日,平成２８年１０月１日（基準日）現在のデータ,,,,,132M10001000035,https://elaws.e-gov.go.jp/document?lawid=132M10001000035_20161001_000000000000000,,
法律,明治三十三年法律第三十三号,未成年者喫煙禁止法,みせいねんしゃきつえんきんしほう,,明治三十三年三月七日,平成２７年８月１日（基準日）現在のデータ,,,,,133AC0000000033,https://elaws.e-gov.go.jp/document?lawid=133AC0000000033_20150801_000000000000000,,
法律,明治三十三年法律第三十三号,未成年者喫煙禁止法,みせいねんしゃきつえんきんしほう,,明治三十三年三月七日,民法の一部を改正する法律,平成三十年法律第五十九号,平成三十年六月二十日,令和四年四月一日,,133AC0000000033,https://elaws.e-gov.go.jp/document?lawid=133AC0000000033_20220401_430AC0000000059,○,
法律,明治三十三年法律第六十五号,鉄道営業法,てつどうえいぎょうほう,,明治三十三年三月十六日,民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,平成二十九年法律第四十五号,平成二十九年六月二日,令和二年四月一日,,133AC0000000065,https://elaws.e-gov.go.jp/document?lawid=133AC0000000065_20200401_429AC0000000045,,
法律,明治三十三年法律第六十七号,国税犯則取締法,こくぜいはんそくとりしまりほう,,明治三十三年三月十七日,,平成二十九年法律第四号,平成二十九年三月三十一日,平成三十年四月一日,,133AC0000000067,https://elaws.e-gov.go.jp/document?lawid=133AC0000000067_20180401_429AC0000000004,○,
法律,明治三十三年法律第七十二号,明治三十三年法律第七十二号（地上権ニ関スル法律）,ちじょうけんにかんするほうりつ,,明治三十三年三月二十七日,平成２７年８月１日（基準日）現在のデータ,,,,,133AC0000000072,https://elaws.e-gov.go.jp/document?lawid=133AC0000000072_20150801_000000000000000,,
勅令,明治三十三年勅令第一号,窒息セシムヘキ瓦斯又ハ有毒質ノ瓦斯ヲ散布スルヲ唯一ノ目的トスル投射物ノ使用ヲ各自ニ禁止スル宣言書,ちっそくせしむへきがすまたはゆうどくしつのがすをさんぷするをゆいいつのもくてきとするとうしゃもののしようをかくじにきんしするせんげんしょ,,明治三十三年十一月二十二日,平成２７年８月１日（基準日）現在のデータ,,,,,133IO0000000001,https://elaws.e-gov.go.jp/document?lawid=133IO0000000001_20150801_000000000000000,,
勅令,明治三十三年勅令第二号,外包硬固ナル弾丸ニシテ其ノ外包中心ノ全部ヲ蓋包セス若ハ其ノ外包ニ截刻ヲ施シタルモノノ如キ人体内ニ入テ容易ニ開展シ又ハ扁平ト為ルヘキ弾丸ノ使用ヲ各自ニ禁止スル宣言書,がいほうこうこなるだんがんにしてそのがいほうちゅうしんのぜんぶをがいほうせすもしくはそのがいほうにせつこくをほどこしたるもののごときじんたいないにいりてよういにかいてんしまたはへんぺいなるへきだんがんのしようをかくじにきんしするせんげんしょ,,明治三十三年十一月二十二日,平成２７年８月１日（基準日）現在のデータ,,,,,133IO0000000002,https://elaws.e-gov.go.jp/document?lawid=133IO0000000002_20150801_000000000000000,,
勅令,明治三十三年勅令第五十二号,国税犯則取締法施行規則,こくぜいはんそくとりしましほうせこうきそく,,明治三十三年三月二十三日,,平成二十九年政令第百十三号,平成二十九年三月三十一日,平成三十年四月一日,,133IO0000000052,https://elaws.e-gov.go.jp/document?lawid=133IO0000000052_20180401_429CO0000000113,○,
勅令,明治三十三年勅令第三百二十九号,明治三十三年勅令第三百二十九号（救恤又ハ学芸技術奨励寄附金等ノ保管出納ニ関スル件）,きゅうじゅつもしくはがくげいぎじゅつしょうれいきふきんとうのほかんすいとうにかんするけん,,明治三十三年八月三日,平成２７年８月１日（基準日）現在のデータ,,,,,133IO0000000329,https://elaws.e-gov.go.jp/document?lawid=133IO0000000329_20150801_000000000000000,,
勅令,明治三十三年勅令第四百九号,明治三十三年勅令第四百九号（相続人曠欠ノ場合ニ於テ国庫ニ帰属シタル財産ノ引渡ニ関スル件）,そうぞくにんこうけつのばあいにおいてこっこにきぞくしたるざいさんのひきわたしにかんするけん,,明治三十三年十二月七日,平成２７年８月１日（基準日）現在のデータ,,,,,133IO0000000409,https://elaws.e-gov.go.jp/document?lawid=133IO0000000409_20150801_000000000000000,,
府省令,明治三十三年司法省令第二十五号,明治三十三年司法省令第二十五号（外国ニ於テ婚姻ヲ為ストキノ証明書ニ関スル件）,がいこくにおいてこんいんをなすときのしょうめいしょにかんするけん,,明治三十三年七月十六日,平成２８年１０月１日（基準日）現在のデータ,,,,,133M10000010025,https://elaws.e-gov.go.jp/document?lawid=133M10000010025_20161001_000000000000000,,
府省令,明治三十三年大蔵省令第五号,明治三十三年大蔵省令第五号（国税犯則取締法第四条ニ依リ収税官吏ノ携帯スヘキ証票様式）,こくぜいはんそくとりしまりほうだいよんじょうによりしゅうぜいかんりのけいたいすべきしょうひょうようしき,,明治三十三年三月二十四日,国税犯則取締法第四条に依り収税官吏の携帯すべき証票様式を定める件を廃止する省令,平成二十九年財務省令第二十七号,平成二十九年三月三十一日,平成三十年四月一日,,133M10000040005,https://elaws.e-gov.go.jp/document?lawid=133M10000040005_20180401_429M60000040027,○,
府省令,明治三十三年逓信省令第三十八号,伝染病患者鉄道乗車規程,でんせんびょうかんじゃてつどうじょうしゃきてい,,明治三十三年八月十日,平成２８年１０月１日（基準日）現在のデータ,,,,,133M10001000038,https://elaws.e-gov.go.jp/document?lawid=133M10001000038_20161001_000000000000000,,
勅令,明治三十四年勅令第一号,日西特別通商条約,にっせいとくべつつうしょうじょうやく,,明治三十四年四月八日,平成２７年８月１日（基準日）現在のデータ,,,,,134IO0000000001,https://elaws.e-gov.go.jp/document?lawid=134IO0000000001_20150801_000000000000000,,
法律,明治三十五年法律第十一号,明治三十五年法律第十一号（警察署内ノ留置場ニ拘禁又ハ留置セラルル者ノ費用ニ関スル法律）,けいさつしょないのりゅうちじょうにこうきんまたはりゅうちせらるるもののひようにかんするほうりつ,,明治三十五年二月二十七日,平成２７年８月１日（基準日）現在のデータ,,,,,135AC0000000011,https://elaws.e-gov.go.jp/document?lawid=135AC0000000011_20150801_000000000000000,,
法律,明治三十五年法律第五十号,明治三十五年法律第五十号（年齢計算ニ関スル法律）,ねんれいけいさんにかんするほうりつ,,明治三十五年十二月二日,平成２７年８月１日（基準日）現在のデータ,,,,,135AC0000000050,https://elaws.e-gov.go.jp/document?lawid=135AC0000000050_20150801_000000000000000,,
府省令,明治三十五年逓信省令第十一号,明治三十五年逓信省令第十一号（船舶積量互認ノ件ニ関シ帝国政府ト瑞典及諾威国両政府トノ間ニ取極ヲ為シタル条規）,せんぱくせきりょうごにんのけんにかんしていこくせいふとすうぇーでんおよびのるうぇーこくりょうせいふとのあいだにとりきめをなしたるじょうき,,明治三十五年三月二十七日,平成２８年１０月１日（基準日）現在のデータ,,,,,135M10001000011,https://elaws.e-gov.go.jp/document?lawid=135M10001000011_20161001_000000000000000,,
法律,明治三十七年法律第十七号,明治三十七年法律第十七号（記名ノ国債ヲ目的トスル質権ノ設定ニ関スル法律）,きめいのこくさいをもくてきとするしちけんのせっていにかんするほうりつ,,明治三十七年四月一日,平成２７年８月１日（基準日）現在のデータ,,,,,137AC0000000017,https://elaws.e-gov.go.jp/document?lawid=137AC0000000017_20150801_000000000000000,,
法律,明治三十八年法律第五十二号,担保付社債信託法,たんぽつきしゃさいしんたくほう,,明治三十八年三月十三日,平成２７年８月１日（基準日）現在のデータ,,,,,138AC0000000052,https://elaws.e-gov.go.jp/document?lawid=138AC0000000052_20150801_000000000000000,,
法律,明治三十八年法律第五十二号,担保付社債信託法,たんぽつきしゃさいしんたくほう,,明治三十八年三月十三日,会社法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和元年法律第七十一号,令和元年十二月十一日,令和三年六月十日,会社法改正法の施行の日,138AC0000000052,https://elaws.e-gov.go.jp/document?lawid=138AC0000000052_20210610_501AC0000000071,○,
法律,明治三十八年法律第五十三号,鉄道抵当法,てつどうていとうほう,,明治三十八年三月十三日,行政機関等の保有する個人情報の適正かつ効果的な活用による新たな産業の創出並びに活力ある経済社会及び豊かな国民生活の実現に資するための関係法律の整備に関する法律,平成二十八年法律第五十一号,平成二十八年五月二十七日,平成二十九年五月三十日,,138AC0000000053,https://elaws.e-gov.go.jp/document?lawid=138AC0000000053_20170530_428AC0000000051,,
法律,明治三十八年法律第五十四号,工場抵当法,こうじょうていとうほう,,明治三十八年三月十三日,民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,平成二十九年法律第四十五号,平成二十九年六月二日,令和二年四月一日,,138AC0000000054,https://elaws.e-gov.go.jp/document?lawid=138AC0000000054_20200401_429AC0000000045,,
法律,明治三十八年法律第五十五号,鉱業抵当法,こうぎょうていとうほう,,明治三十八年三月十三日,平成２７年８月１日（基準日）現在のデータ,,,,,138AC0000000055,https://elaws.e-gov.go.jp/document?lawid=138AC0000000055_20150801_000000000000000,,
法律,明治三十八年法律第六十三号,外国裁判所ノ嘱託ニ因ル共助法,がいこくさいばんしょのしょくたくによるきょうじょほう,,明治三十八年三月十三日,平成２７年８月１日（基準日）現在のデータ,,,,,138AC0000000063,https://elaws.e-gov.go.jp/document?lawid=138AC0000000063_20150801_000000000000000,,
法律,明治三十八年法律第六十六号,明治三十八年法律第六十六号（外国ニ於テ流通スル貨幣紙幣銀行券証券偽造変造及模造ニ関スル法律）,がいこくにおいてりゅうつうするかへいしへいぎんこうけんしょうけんぎぞうへんぞうおよびもぞうにかんするほうりつ,,明治三十八年三月二十日,平成２７年８月１日（基準日）現在のデータ,,,,,138AC0000000066,https://elaws.e-gov.go.jp/document?lawid=138AC0000000066_20150801_000000000000000,,
