法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
政令,昭和四十一年政令第二百二十七号,戦傷病者等の妻に対する特別給付金支給法施行令,せんしょうびょうしゃとうのつまにたいするとくべつきゅうふきんしきゅうほうせこうれい,,昭和四十一年七月一日,戦傷病者等の妻に対する特別給付金支給法施行令の一部を改正する政令,平成二十八年政令第二百号,平成二十八年四月十五日,平成二十八年四月十五日,,341CO0000000227,https://elaws.e-gov.go.jp/document?lawid=341CO0000000227_20160415_428CO0000000200,,
政令,昭和四十一年政令第二百三十二号,古都における歴史的風土の保存に関する特別措置法第二条第一項の市町村を定める政令,ことにおけるれきしてきふうどのほぞんにかんするとくべつそちほうだいにじょうだいいっこうのしちょうそんをさだめるせいれい,,昭和四十一年七月四日,平成２７年８月１日（基準日）現在のデータ,,,,,341CO0000000232,https://elaws.e-gov.go.jp/document?lawid=341CO0000000232_20150801_000000000000000,,
政令,昭和四十一年政令第二百四十五号,恩給法の一部を改正する法律附則第四十一条の二の日本赤十字社の救護員の範囲等を定める政令,おんきゅうほうのいちぶをかいせいするほうりつふそくだいよんじゅういちじょうのにのにほんせきじゅうじしゃのきゅうごいんのはんいとうをさだめるせいれい,,昭和四十一年七月八日,平成２７年８月１日（基準日）現在のデータ,,,,,341CO0000000245,https://elaws.e-gov.go.jp/document?lawid=341CO0000000245_20150801_000000000000000,,
政令,昭和四十一年政令第二百四十八号,官公需についての中小企業者の受注の確保に関する法律施行令,かんこうじゅについてのちゅうしょうきぎょうもののじゅちゅうのかくほにかんするほうりつせこうれい,,昭和四十一年七月十一日,独立行政法人郵便貯金・簡易生命保険管理機構法の一部を改正する法律の一部の施行に伴う関係政令の整理に関する政令,平成三十一年政令第四十号,平成三十一年三月二十日,平成三十一年四月一日,,341CO0000000248,https://elaws.e-gov.go.jp/document?lawid=341CO0000000248_20190401_431CO0000000040,,
政令,昭和四十一年政令第二百六十二号,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律施行令,ろうどうしさくのそうごうてきなすいしんならびにろうどうしゃのこようのあんていおよびしょくぎょうせいかつのじゅうじつとうにかんするほうりつせこうれい,,昭和四十一年七月二十一日,働き方改革を推進するための関係法律の整備に関する法律の一部の施行に伴う関係政令の整備に関する政令,平成三十年政令第二百号,平成三十年七月六日,平成三十年七月六日,,341CO0000000262,https://elaws.e-gov.go.jp/document?lawid=341CO0000000262_20180706_430CO0000000200,,
政令,昭和四十一年政令第二百八十一号,恩給法等の一部を改正する法律附則第七条第一項の仮定俸給年額を定める政令,おんきゅうほうとうのいちぶをかいせいするほうりつふそくだいななじょうだいいっこうのかていほうきゅうねんがくをさだめるせいれい,,昭和四十一年八月八日,平成２７年８月１日（基準日）現在のデータ,,,,,341CO0000000281,https://elaws.e-gov.go.jp/document?lawid=341CO0000000281_20150801_000000000000000,,
政令,昭和四十一年政令第二百九十号,日本勤労者住宅協会法施行令,にほんきんろうしゃじゅうたくきょうかいほうせこうれい,,昭和四十一年八月十八日,平成２７年８月１日（基準日）現在のデータ,,,,,341CO0000000290,https://elaws.e-gov.go.jp/document?lawid=341CO0000000290_20150801_000000000000000,,
政令,昭和四十一年政令第三百十二号,防衛省職員の災害補償に関する政令,ぼうえいしょうしょくいんのさいがいほしょうにかんするせいれい,,昭和四十一年九月八日,防衛省組織令等の一部を改正する政令,令和二年政令第八十三号,令和二年三月三十日,令和二年四月一日,,341CO0000000312,https://elaws.e-gov.go.jp/document?lawid=341CO0000000312_20200401_502CO0000000083,,
政令,昭和四十一年政令第三百十八号,首都圏、近畿圏及び中部圏の近郊整備地帯等の整備のための国の財政上の特別措置に関する法律施行令,しゅとけん、きんきけんおよびちゅうぶけんのきんこうせいびちたいとうのせいびのためのくにのざいせいじょうのとくべつそちにかんするほうりつせこうれい,,昭和四十一年九月二十日,平成２７年８月１日（基準日）現在のデータ,,,,,341CO0000000318,https://elaws.e-gov.go.jp/document?lawid=341CO0000000318_20150801_000000000000000,,
政令,昭和四十一年政令第三百三十一号,昭和四十年度における旧令による共済組合等からの年金受給者のための特別措置法等の規定による年金の額の改定に関する法律等の一部を改正する法律附則第二条第一項の仮定俸給の額を定める政令,しょうわよんじゅうねんどにおけるきゅうれいによるきょうさいくみあいとうからのねんきんじゅきゅうしゃのためのとくべつそちほうとうのきていによるねんきんのがくのかいていにかんするほうりつとうのいちぶをかいせいするほうりつふそくだいにじょうだいいっこうのかていほうきゅうのがくをさだめるせいれい,,昭和四十一年九月二十九日,平成２７年８月１日（基準日）現在のデータ,,,,,341CO0000000331,https://elaws.e-gov.go.jp/document?lawid=341CO0000000331_20150801_000000000000000,,
政令,昭和四十一年政令第三百七十六号,建国記念の日となる日を定める政令,けんこくきねんのにちとなるひをさだめるせいれい,,昭和四十一年十二月九日,平成２７年８月１日（基準日）現在のデータ,,,,,341CO0000000376,https://elaws.e-gov.go.jp/document?lawid=341CO0000000376_20150801_000000000000000,,
